Sample	äwê∂é¿å±3TM_NH3	
Comments	 	
Filename	C:\Users\User1\Desktop\DATA\äwê∂é¿å±3TM\äwê∂é¿å±3TM_NH3_2É∆_É∆.raw	
Goniometer	MiniFlex 300/600 +	
Attachment	âÒì]ééóøë‰	
Monochromater	None	
X	0	
Y	0	
Z	0	
ScanningMode	2Theta/Theta	
ScanningType	Continuos Scanning	
X-Ray	40kV/15mA	
IHS	5.0mm	
DS	1.250deg	
SS	13.0mm(Open)	
RS	13.0mm(Open)	
K-beta(x1)		
Start	20	
Stop	80	
Step	0.01	
Speed	1	
Offset	0	10539
28.99	846	268.0273271
29	854	268.1032356
29.01	873	268.2835184
29.02	868	268.2360755
29.03	838	267.9514185
29.04	860	268.160167
29.05	867	268.226587
29.06	873	268.2835184
29.07	851	268.0747699
29.08	862	268.1791441
29.09	862	268.1791441
29.1	877	268.3214726
29.11	871	268.2645412
29.12	867	268.226587
29.13	860	268.160167
29.14	867	268.226587
29.15	866	268.2170984
29.16	880	268.3499383
29.17	872	268.2740298
29.18	895	268.4922668
29.19	899	268.5302211
29.2	882	268.3689155
29.21	871	268.2645412
29.22	887	268.4163583
29.23	901	268.5491982
29.24	876	268.3119841
29.25	855	268.1127242
29.26	865	268.2076098
29.27	856	268.1222127
29.28	847	268.0368156
29.29	832	267.8944871
29.3	873	268.2835184
29.31	894	268.4827783
29.32	882	268.3689155
29.33	889	268.4353354
29.34	899	268.5302211
29.35	879	268.3404498
29.36	889	268.4353354
29.37	901	268.5491982
29.38	900	268.5397096
29.39	883	268.378404
29.4	876	268.3119841
29.41	878	268.3309612
29.42	865	268.2076098
29.43	870	268.2550527
29.44	887	268.4163583
29.45	877	268.3214726
29.46	851	268.0747699
29.47	827	267.8470443
29.48	869	268.2455641
29.49	891	268.4543126
29.5	892	268.4638011
29.51	877	268.3214726
29.52	868	268.2360755
29.53	881	268.3594269
29.54	887	268.4163583
29.55	873	268.2835184
29.56	878	268.3309612
29.57	858	268.1411899
29.58	862	268.1791441
29.59	876	268.3119841
29.6	900	268.5397096
29.61	899	268.5302211
29.62	863	268.1886327
29.63	849	268.0557928
29.64	865	268.2076098
29.65	886	268.4068697
29.66	882	268.3689155
29.67	871	268.2645412
29.68	886	268.4068697
29.69	902	268.5586868
29.7	884	268.3878926
29.71	887	268.4163583
29.72	906	268.596641
29.73	912	268.6535724
29.74	847	268.0368156
29.75	840	267.9703957
29.76	860	268.160167
29.77	841	267.9798842
29.78	842	267.9893728
29.79	869	268.2455641
29.8	863	268.1886327
29.81	864	268.1981213
29.82	852	268.0842585
29.83	865	268.2076098
29.84	911	268.6440839
29.85	929	268.8148781
29.86	927	268.7959009
29.87	955	269.0615808
29.88	978	269.2798178
29.89	984	269.3367492
29.9	969	269.1944207
29.91	943	268.947718
29.92	925	268.7769238
29.93	905	268.5871525
